codigo_puesto_unico,zona_codigo,puesto_codigo,nombre_puesto_dashboard,nombre_puesto_base,nombres_puesto_base_variantes,nombre_puesto_ideca,nombre_sitio,localidad_codigo,localidad,direccion,latitud,longitud,estado_geocodificacion,fuente_geografica,templo_principal,total_testigos,lideres_activos,beneficiarios_mesas_trabajo,referidos_activos_lideres,lideres_ref_0,lideres_ref_1_5,lideres_ref_6_9,lideres_ref_10_mas,pct_lideres_activos,pct_beneficiarios_mesas_trabajo,numero_puesto_ideca
160010000,0,00,PUESTO CABECERA MUNICIPAL,PUESTO CABECERA MUNICIPAL,COLISEO MUNICIPAL | IE ALBANIA - SD PEREGRINO LOZANO | IE LA ASUNCION SD FRANCISCO MIRANDA | INST EDUC MANZANARES SD SAN LUIS GONZAGA | PUESTO CABECERA MUNICIPAL,,,,,,,,pendiente_validacion,,BOSA LA ESTACION,38,32,3,80,20,8,3,1,84.2,7.9,
160010001,0,01,INST EDUC NUESTRA SEÑORA DEL ROSARIO,INST EDUC NUESTRA SEÑORA DEL ROSARIO,AUDITORIO MUNICIPAL | CENTRO DOCENTE MARTIN GALEANO | CENTRO POLIDEPORTIVO MUNICIPAL | COL. CARLOS GARAVITO - SEDE CIUDADELA | INST EDUC NUESTRA SEÑORA DEL ROSARIO | INSTITUCION EDUCATIVA JOSE MARIA CORDOBA | POLIDEPORTIVO MUNICIPAL,,,,,,,,pendiente_validacion,,BOSA LA ESTACION,9,8,0,22,3,3,2,0,88.9,0.0,
160010002,0,02,COMPLEJO DEPORTIVO,COMPLEJO DEPORTIVO,COMPLEJO DEPORTIVO | IE MANUELA OMAÑA | IE MARIA INMACULADA | VILLA OLIMPICA,,,,,,,,pendiente_validacion,,FONTIBÓN,4,4,0,13,2,1,1,0,100.0,0.0,
160019901,99,01,ARENA DEL SUR,ARENA DEL SUR,ARENA DEL SUR | BUENOS AIRES | LA MAGDALENA,,,,,,,,pendiente_validacion,,FONTIBÓN,3,3,0,0,3,0,0,0,100.0,0.0,
160019909,99,09,TACAMOCHO,TACAMOCHO,SAN RAFAEL | TACAMOCHO,,,,,,,,pendiente_validacion,,SUBA – RINCÓN,3,2,0,0,2,0,0,0,66.7,0.0,
160019905,99,05,TUDELA,TUDELA,EL CARITO | TUDELA,,,,,,,,pendiente_validacion,,FONTIBÓN,2,2,0,0,2,0,0,0,100.0,0.0,
160019910,99,10,LA PALMITA,LA PALMITA,LA PALMITA | PUEBLO NUEVO,,,,,,,,pendiente_validacion,,LA VICTORIA,2,1,0,0,1,0,0,0,50.0,0.0,
160019945,99,45,NUEVA ESPERANZA,NUEVA ESPERANZA,NUEVA ESPERANZA,,,,,,,,pendiente_validacion,,PATIO BONITO,2,1,0,0,1,0,0,0,50.0,0.0,
160019950,99,50,PUERTO ALVIRA,PUERTO ALVIRA,PUERTO ALVIRA | PUERTO DE GRAMALOTAL,,,,,,,,pendiente_validacion,,SUBA - LAS MERCEDES,2,2,0,5,1,1,0,0,100.0,0.0,
160013306,33,06,IED SANTA BERNARDITA,IED SANTA BERNARDITA,IED SANTA BERNARDITA,,,,,,,,pendiente_validacion,,LA COLINA,1,1,0,0,1,0,0,0,100.0,0.0,
160013106,31,06,I.E. CAPILLA DEL ROSARIO,I.E. CAPILLA DEL ROSARIO,I.E. CAPILLA DEL ROSARIO,,,,,,,,pendiente_validacion,,CARVAJAL,1,1,0,3,0,1,0,0,100.0,0.0,
160019903,99,03,EL SIGLO,EL SIGLO,EL SIGLO,,,,,,,,pendiente_validacion,,BOSA LA ESTACION,1,1,0,0,1,0,0,0,100.0,0.0,
160019904,99,04,EL SEIS,EL SEIS,EL SEIS,,,,,,,,pendiente_validacion,,FERIAS,1,1,0,1,0,1,0,0,100.0,0.0,
160012601,26,01,INT.DTAL.CASTILLO LA ALBORAYA,INT.DTAL.CASTILLO LA ALBORAYA,INT.DTAL.CASTILLO LA ALBORAYA,,,,,,,,pendiente_validacion,,LIJACÁ,1,1,0,0,1,0,0,0,100.0,0.0,
160019913,99,13,MONTOSO,MONTOSO,MONTOSO,,,,,,,,pendiente_validacion,,LA VICTORIA,1,1,0,5,0,1,0,0,100.0,0.0,
160019925,99,25,LA PEDREGOZA,LA PEDREGOZA,LA PEDREGOZA,,,,,,,,pendiente_validacion,,KENNEDY,1,0,0,0,0,0,0,0,0.0,0.0,
160019940,99,40,LA JULIA,LA JULIA,LA JULIA,,,,,,,,pendiente_validacion,,BOSA LA ESTACION,1,1,0,1,0,1,0,0,100.0,0.0,
160019941,99,41,AMAIME,AMAIME,AMAIME,,,,,,,,pendiente_validacion,,LA VICTORIA,1,1,0,0,1,0,0,0,100.0,0.0,
160019970,99,70,VILLANUEVA,VILLANUEVA,VILLANUEVA,,,,,,,,pendiente_validacion,,SUBA – RINCÓN,1,0,0,0,0,0,0,0,0.0,0.0,
160019990,99,90,SAN LUIS,SAN LUIS,SAN LUIS,,,,,,,,pendiente_validacion,,SUBA – EL PINAR,1,1,0,1,0,1,0,0,100.0,0.0,
1600199A2,99,A2,IE CENTRAL,IE CENTRAL,IE CENTRAL,,,,,,,,pendiente_validacion,,BOSA LA ESTACION,1,1,0,0,1,0,0,0,100.0,0.0,
