codigo_puesto_unico,zona_codigo,puesto_codigo,nombre_puesto_dashboard,nombre_puesto_base,nombres_puesto_base_variantes,nombre_puesto_ideca,nombre_sitio,localidad_codigo,localidad,direccion,latitud,longitud,estado_geocodificacion,fuente_geografica,templo_principal,total_testigos,lideres_activos,beneficiarios_mesas_trabajo,referidos_activos_lideres,lideres_ref_0,lideres_ref_1_5,lideres_ref_6_9,lideres_ref_10_mas,pct_lideres_activos,pct_beneficiarios_mesas_trabajo,numero_puesto_ideca
160010000,00,00,PUESTO CABECERA MUNICIPAL,PUESTO CABECERA MUNICIPAL,COLISEO MUNICIPAL | IE ALBANIA - SD PEREGRINO LOZANO | IE LA ASUNCION SD FRANCISCO MIRANDA | INST EDUC MANZANARES SD SAN LUIS GONZAGA | PUESTO CABECERA MUNICIPAL,,,,,,,,pendiente_validacion,,BOSA LA ESTACION,38,32,3,80,20,8,3,1,84.2,7.9,
160010001,00,01,INST EDUC NUESTRA SEÑORA DEL ROSARIO,INST EDUC NUESTRA SEÑORA DEL ROSARIO,AUDITORIO MUNICIPAL | CENTRO DOCENTE MARTIN GALEANO | CENTRO POLIDEPORTIVO MUNICIPAL | COL. CARLOS GARAVITO - SEDE CIUDADELA | INST EDUC NUESTRA SEÑORA DEL ROSARIO | INSTITUCION EDUCATIVA JOSE MARIA CORDOBA | POLIDEPORTIVO MUNICIPAL,,,,,,,,pendiente_validacion,,BOSA LA ESTACION,9,8,0,22,3,3,2,0,88.9,0.0,
160010002,00,02,COMPLEJO DEPORTIVO,COMPLEJO DEPORTIVO,COMPLEJO DEPORTIVO | IE MANUELA OMAÑA | IE MARIA INMACULADA | VILLA OLIMPICA,,,,,,,,pendiente_validacion,,FONTIBÓN,4,4,0,13,2,1,1,0,100.0,0.0,
160010101,01,01,Vía Pública,USAQUÉN,COLEGIO MARIA GORETTI | IED ENRIQUE PARDO PARRA SD BACHILLERATO | INST EDUC MARIANO SANCHEZ SD JUAN P. II | USAQUÉN,Vía Pública,Usaquén,01,Usaquén,CRA 6A ENTRE CLL 119 Y 120A VIA PUBLICA,4.696280218000027,-74.03074327899998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,SUBA – RINCÓN,9,8,0,21,4,3,1,0,88.9,0.0,1
160010102,01,02,Centro de Atención Distrital Especializado Servitá,SERVITA,C.E.LA PAZ | CENTRO COMERCIAL LA SEGUNDA | COL CONALSA | COLEGIO LEON DE GREIFF | COLEGIO NACIONAL DIVERSIFICADO | COLISEO CUBIERTO | IE LAURA VICUÑA | POLIDEPORTIVO JOSE ELIAS PUYANA | SERVITA,Centro de Atención Distrital Especializado Servitá,Servitá,01,Usaquén,"CLL 165 # 7 - 38 /
CLL 165 # 7 - 52",4.741405973999974,-74.02346390100001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,50,41,4,203,18,12,2,9,82.0,8.0,2
160010103,01,03,Colegio Calasanz - Sede Norte,CALAZANS,CALAZANS | SALON  COMUNAL  ALCAPARROS,Colegio Calasanz - Sede Norte,Calasanz,01,Usaquén,"CRA 20 A # 173 A - 10 
Entrada al Parqueadero",4.753616942999997,-74.04243564500001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,17,15,3,481,3,4,3,5,88.2,17.6,3
160010104,01,04,Colegio Distrital Aquileo Parra,COLEGIO AQUILEO PARRA SEDE BACHILLERATO,COLEGIO AQUILEO PARRA SEDE BACHILLERATO | COLEGIO DE LA PRESENTACION YOPAL | I.E.LIVIO REGINALDO FISCHIONE,Colegio Distrital Aquileo Parra,Colegio Aquileo Parra sede Bachillerato,01,Usaquén,"CRA 18 A # 187 - 75 /
CRA 18 A # 187 - 97",4.766259870999988,-74.03911765200002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,39,38,8,260,6,12,10,10,97.4,20.5,4
160010105,01,05,Colegio Distrital Unión Colombia - Sede B,LIJACA,LIJACA,Colegio Distrital Unión Colombia - Sede B,Lijacá,01,Usaquén,CLL 189 # 7 - 05,4.765537424999991,-74.027994434,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,16,16,5,110,2,6,3,5,100.0,31.2,5
160010106,01,06,Colegio Distrital Unión Colombia - Sede A,SAN ANTONIO UNIÓN COLOMBIA,SAN ANTONIO UNIÓN COLOMBIA,Colegio Distrital Unión Colombia - Sede A,San Antonio Unión Colombia,01,Usaquén,CRA 7 A # 182 A - 07,4.759461830000021,-74.02751643800002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,22,18,7,118,5,4,3,6,81.8,31.8,6
160010107,01,07,Colegio Distrital Agustín Fernández - Sede A,COLEGIO AGUSTIN FERNANDEZ SEDE A,COLEGIO AGUSTIN FERNANDEZ SEDE A | COLEGIO PEDAGOGICO INGLES | I.E. SANTO ANGEL | I.E.BUINAIMA,Colegio Distrital Agustín Fernández - Sede A,Colegio Agustín Fernández Sede A,01,Usaquén,CRA 7 # 155 - 20,4.729544018000013,-74.02379497700002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,16,11,2,62,5,1,2,3,68.8,12.5,7
